L0,L1,L2,Graph
0.86615294,0.53756464,,
-0.5756408,-0.7875762,,
0.79247856,0.8816313,,
-1.0,0.11989751,,
-0.42668638,0.58532387,,
-0.4240513,0.47680598,,
0.5435521,0.29008985,,
-0.44879866,-0.15833026,,
0.3285309,-0.24616043,,
-0.009504586,-0.3724385,,
0.45663488,-0.62774444,,
0.24430498,0.25205052,,
-0.69014597,0.02917634,,
-0.26996976,-0.17630517,,
-0.55668867,-0.9579607,,
0.27755043,0.38096356,,
-0.11844611,-0.61520374,,
0.519112,0.052756324,,
0.6065629,-0.19169116,,
0.7266743,0.10461325,,
-0.1516299,-0.9165858,,
-0.521843,-0.944905,,
-0.3565244,0.4980186,,
0.5614369,0.8133389,,
-0.74490964,0.6043155,,
-0.41979733,0.050926063,,
0.8749509,-0.2598064,,
0.97893333,0.73853445,,
-1.0,0.701965,,
0.11576432,-0.7167566,,
-0.20357294,0.13256899,,
-0.41918594,0.32991284,,
0.2347318,0.40021765,,
1.0,0.076459885,,
-0.29410908,0.72747684,,
-0.15532565,0.47589862,,
-0.008018196,-0.22807553,,
0.14705689,-0.5035137,,
0.918026,0.2484313,,
-0.08238304,0.24146216,,
0.72974086,0.25805837,,
-0.74210006,-0.827271,,
0.55077714,-0.8262993,,
-0.30455646,0.6803613,,
0.3853414,-0.3742231,,
0.082058035,-0.8116462,,
0.08819479,0.015671358,,
1.0,-0.62822413,,
-0.057168603,0.3826433,,
0.2113986,0.9234081,,
-0.5545354,-0.31692672,,
-0.114985615,-0.58151686,,
-0.16230127,0.19875512,,
0.46652472,-0.47309732,,
-0.38619596,0.38952112,,
0.18478689,0.8494811,,
0.33674952,-0.7394011,,
0.47497678,-0.48352027,,
-0.13923804,0.4406764,,
0.43328062,-1.0,,
-0.0261202,0.67267007,,
-0.43491805,0.34550086,,
0.30233777,0.7435868,,
0.024286535,0.3720671,,
0.48374128,-0.79681647,,
0.8047537,-0.52637184,,
0.71955913,-0.17183232,,
0.27917528,0.008330584,,
-1.0,-0.19834162,,
-0.21209231,0.44252425,,
-0.32321537,0.18886176,,
0.8515394,1.0,,
0.5809109,0.042927623,,
-0.023987532,-0.28128436,,
-0.43598676,-0.8626232,,
-0.4580606,0.28579706,,
-0.38785863,-0.6341298,,
0.2077123,0.5883659,,
-0.97699606,-0.7618907,,
0.9429629,-0.07167813,,
-0.14537942,-1.0,,
0.39765418,-1.0,,
0.49115038,-0.37665814,,
-0.18516798,-0.9507619,,
0.7058876,0.6985805,,
0.7059604,-0.61800885,,
0.8191591,-0.5443466,,
0.010742635,0.5483504,,
-0.52315456,0.51879567,,
0.88040847,0.79128134,,
0.44286442,0.80632997,,
-0.22639298,0.8893622,,
-0.96869284,0.045500636,,
-0.36187398,0.51681507,,
-0.91018856,0.30206612,,
-0.6669594,0.3458709,,
0.9620773,0.2165271,,
-0.01842545,-0.55565536,,
0.6062186,0.79340506,,
0.41859436,0.63270706,,
0.8869208,0.45686638,,
-0.246225,0.43418476,,
0.46903104,-0.94022024,,
-0.22690901,0.7075622,,
0.5307497,-0.17369258,,
-0.7474427,0.23243296,,
-0.7264698,0.12309325,,
-1.0,0.64305204,,
0.5752595,0.52380717,,
-0.97802794,0.7337105,,
0.86857766,0.36647534,,
-0.53866976,-0.14370088,,
0.13940382,-0.6467961,,
-0.45526218,-0.03106761,,
-0.7952806,0.67344683,,
-0.2743882,0.59842074,,
-0.6964251,-0.4196214,,
-0.9210088,0.944491,,
-0.22633362,0.2981225,,
-0.35872084,0.5003806,,
-0.47302443,0.83344376,,
0.6775725,-0.4810527,,
0.45091417,0.08337274,,
0.52757454,-0.48722786,,
0.5164871,-0.48260227,,
-0.6815635,0.37943622,,
0.9923112,-0.828386,,
0.052520227,0.6240363,,
0.10955621,0.5191997,,
0.9329283,0.04790119,,
0.22746328,-0.75929374,,
0.83096516,0.18622683,,
-0.29718712,-0.22764492,,
0.898979,-0.87117684,,
0.38452232,0.26145664,,
-1.0,0.3619456,,
0.5765957,0.7240825,,
-0.87067294,-0.5001948,,
0.98337626,-0.877414,,
0.28072986,0.24837855,,
0.014615536,-0.5149439,,
0.23835269,-0.6867731,,
0.350943,0.46126044,,
0.3100853,0.26778603,,
-0.6881665,-0.1758058,,
0.36865902,0.63284457,,
0.8118546,0.16255283,,
0.83426297,-0.65996337,,
0.609964,0.15171099,,
0.44574404,-0.123197496,,
-0.55233574,0.12126076,,
0.9512105,,,
-0.8605697,,,
-0.36889172,,,
-0.98039675,,,
0.77440625,,,
-0.3587123,,,
-0.15427865,,,
